id,lingid,propid,value,group,creator,timestamp
159,36,15,2,group_0,user_0_8,979
160,6,22,2,group_0,user_0_9,912
161,41,18,2,group_0,user_0_4,322
162,6,31,0,group_0,user_0_8,76
163,6,15,0,group_0,user_0_4,654
164,41,12,1,group_0,user_0_5,123
165,0,29,2,group_0,user_0_1,884
166,6,1,3,group_0,user_0_7,844
167,33,39,2,group_0,user_0_3,603
168,33,29,3,group_0,user_0_4,572
169,36,12,0,group_0,user_0_6,660
170,33,29,1,group_0,user_0_3,211
171,17,17,3,group_0,user_0_9,753
172,12,3,2,group_0,user_0_3,815
173,33,16,3,group_0,user_0_7,779
174,36,39,1,group_0,user_0_8,387
175,41,39,0,group_0,user_0_2,279
176,41,21,1,group_0,user_0_0,45
177,41,18,0,group_0,user_0_2,414
178,33,35,4,group_0,user_0_5,803
179,22,11,0,group_0,user_0_5,607
180,17,11,4,group_0,user_0_4,85
181,36,26,4,group_0,user_0_8,931
182,41,11,1,group_0,user_0_2,888
183,41,3,2,group_0,user_0_3,395
184,22,3,1,group_0,user_0_7,24
185,0,21,2,group_0,user_0_9,85
186,0,39,1,group_0,user_0_7,927
187,17,21,0,group_0,user_0_2,573
188,22,26,1,group_0,user_0_3,272
189,36,18,3,group_0,user_0_2,849
190,17,12,2,group_0,user_0_4,79
191,33,3,4,group_0,user_0_6,687
192,6,12,1,group_0,user_0_1,429
193,33,1,0,group_0,user_0_6,962
194,12,11,1,group_0,user_0_7,528
195,22,31,4,group_0,user_0_7,384
196,22,18,4,group_0,user_0_5,872
197,0,18,4,group_0,user_0_8,805
198,36,35,4,group_0,user_0_5,521
199,12,15,1,group_0,user_0_8,798
200,33,31,4,group_0,user_0_2,674
201,22,15,0,group_0,user_0_4,266
202,22,18,1,group_0,user_0_8,542
203,6,18,0,group_0,user_0_2,156
204,36,16,4,group_0,user_0_3,625
205,0,1,2,group_0,user_0_9,269
206,6,39,2,group_0,user_0_2,192
207,6,15,2,group_0,user_0_0,168
208,33,15,0,group_0,user_0_9,841
209,33,35,3,group_0,user_0_2,357
210,17,26,3,group_0,user_0_9,349
211,36,12,3,group_0,user_0_3,705
212,33,11,0,group_0,user_0_8,570
213,36,35,4,group_0,user_0_9,479
214,22,39,3,group_0,user_0_8,900
215,0,15,2,group_0,user_0_6,52
216,36,1,2,group_0,user_0_5,27
217,41,16,4,group_0,user_0_2,909
218,33,26,1,group_0,user_0_1,967
219,41,1,1,group_0,user_0_4,104
220,17,1,1,group_0,user_0_6,398
221,22,12,4,group_0,user_0_9,978
222,12,16,1,group_0,user_0_7,766
223,12,12,0,group_0,user_0_9,630
224,36,21,4,group_0,user_0_9,487
225,41,12,2,group_0,user_0_2,352
226,36,39,0,group_0,user_0_4,860
227,41,18,0,group_0,user_0_5,341
228,22,35,3,group_0,user_0_5,978
229,22,15,3,group_0,user_0_0,261
230,33,31,1,group_0,user_0_2,305
231,17,26,1,group_0,user_0_9,271
232,36,15,3,group_0,user_0_0,746
233,41,16,0,group_0,user_0_3,877
234,0,18,4,group_0,user_0_4,194
235,36,31,0,group_0,user_0_1,944
236,17,26,2,group_0,user_0_9,885
237,0,21,1,group_0,user_0_6,932
238,33,17,3,group_0,user_0_1,832
239,33,1,0,group_0,user_0_8,665
240,17,31,4,group_0,user_0_9,606
241,41,35,2,group_0,user_0_9,630
242,12,35,2,group_0,user_0_4,866
243,33,3,0,group_0,user_0_9,588
244,6,22,4,group_0,user_0_9,825
245,17,18,1,group_0,user_0_6,505
246,12,26,4,group_0,user_0_7,249
247,17,29,4,group_0,user_0_1,615
248,17,26,2,group_0,user_0_2,242
249,6,18,3,group_0,user_0_7,761
250,6,18,2,group_0,user_0_2,744
251,0,12,0,group_0,user_0_1,248
252,33,16,1,group_0,user_0_5,252
253,22,39,0,group_0,user_0_5,697
254,17,15,1,group_0,user_0_1,736
255,41,29,0,group_0,user_0_0,217
256,12,16,1,group_0,user_0_3,603
257,0,3,3,group_0,user_0_6,158
258,33,1,2,group_0,user_0_2,467
259,36,22,4,group_0,user_0_4,992
260,41,1,4,group_0,user_0_4,69
261,12,17,2,group_0,user_0_9,960
262,12,35,4,group_0,user_0_5,191
263,6,12,3,group_0,user_0_0,212
264,22,26,3,group_0,user_0_4,305
265,0,16,3,group_0,user_0_1,742
266,22,18,0,group_0,user_0_4,163
267,41,29,1,group_0,user_0_8,10
268,33,21,2,group_0,user_0_0,403
269,22,29,0,group_0,user_0_4,578
270,12,29,1,group_0,user_0_7,711
271,36,26,4,group_0,user_0_3,544
272,12,21,1,group_0,user_0_9,965
273,0,3,2,group_0,user_0_8,104
274,41,39,2,group_0,user_0_5,642
275,6,39,1,group_0,user_0_5,379
276,36,17,2,group_0,user_0_7,119
277,0,39,0,group_0,user_0_0,733
278,6,17,1,group_0,user_0_5,824
279,17,12,3,group_0,user_0_1,357
280,12,18,3,group_0,user_0_5,439
281,22,11,3,group_0,user_0_5,913
282,0,15,3,group_0,user_0_8,790
283,22,15,2,group_0,user_0_7,21
284,17,16,2,group_0,user_0_9,576
285,22,18,4,group_0,user_0_1,299
286,22,26,0,group_0,user_0_1,768
287,0,31,2,group_0,user_0_0,505
288,12,17,1,group_0,user_0_6,495
289,17,17,3,group_0,user_0_7,926
290,6,12,2,group_0,user_0_1,948
291,36,29,0,group_0,user_0_2,374
292,0,18,4,group_0,user_0_7,933
293,33,1,3,group_0,user_0_9,261
294,17,31,4,group_0,user_0_4,480
295,0,31,4,group_0,user_0_3,564
296,22,11,2,group_0,user_0_1,516
297,33,17,2,group_0,user_0_1,432
298,6,21,3,group_0,user_0_0,184
299,33,29,1,group_0,user_0_7,968
300,6,16,2,group_0,user_0_6,612
301,12,12,0,group_0,user_0_8,329
302,33,22,2,group_0,user_0_4,472
303,0,18,1,group_0,user_0_7,605
304,12,21,2,group_0,user_0_7,42
305,0,1,3,group_0,user_0_4,774
306,12,26,2,group_0,user_0_7,681
307,36,16,4,group_0,user_0_5,559
308,36,3,4,group_0,user_0_6,278
309,22,3,4,group_0,user_0_4,188
310,33,18,2,group_0,user_0_7,595
311,12,26,1,group_0,user_0_1,283
312,6,35,1,group_0,user_0_7,933
313,22,26,0,group_0,user_0_3,493
314,33,15,3,group_0,user_0_9,320
315,36,21,1,group_0,user_0_5,175
316,0,22,2,group_0,user_0_6,801
317,22,31,2,group_0,user_0_0,304
318,22,15,4,group_0,user_0_9,629
319,36,39,1,group_0,user_0_3,206
320,36,15,4,group_0,user_0_2,710
321,33,15,0,group_0,user_0_5,36
322,12,31,4,group_0,user_0_7,544
323,22,39,3,group_0,user_0_2,176
324,17,35,4,group_0,user_0_8,799
325,41,39,3,group_0,user_0_0,824
326,22,21,1,group_0,user_0_3,391
327,12,21,4,group_0,user_0_6,41
328,6,31,3,group_0,user_0_9,737
329,0,18,3,group_0,user_0_3,728
330,17,17,0,group_0,user_0_0,968
331,6,21,3,group_0,user_0_6,422
332,22,31,3,group_0,user_0_0,786
333,41,1,3,group_0,user_0_5,146
334,6,26,1,group_0,user_0_1,167
335,6,21,1,group_0,user_0_6,652
336,6,26,1,group_0,user_0_5,543
337,6,12,4,group_0,user_0_0,330
338,0,11,0,group_0,user_0_6,980
339,0,15,1,group_0,user_0_4,358
340,41,3,0,group_0,user_0_2,54
341,0,21,0,group_0,user_0_1,6
342,0,12,2,group_0,user_0_7,596
343,41,39,1,group_0,user_0_0,26
344,41,11,4,group_0,user_0_9,152
345,6,26,4,group_0,user_0_5,552
346,17,35,3,group_0,user_0_8,35
347,33,35,1,group_0,user_0_3,710
348,17,1,2,group_0,user_0_3,554
349,17,29,4,group_0,user_0_2,265
350,0,12,2,group_0,user_0_4,893
351,6,35,4,group_0,user_0_9,72
352,12,26,4,group_0,user_0_5,205
353,41,3,2,group_0,user_0_2,518
354,12,31,0,group_0,user_0_5,543
355,22,26,4,group_0,user_0_4,839
356,17,3,0,group_0,user_0_8,339
357,22,3,4,group_0,user_0_3,149
358,6,17,2,group_0,user_0_3,690
359,33,17,0,group_0,user_0_3,252
360,12,16,0,group_0,user_0_4,67
361,17,39,3,group_0,user_0_6,129
362,33,26,1,group_0,user_0_8,155
363,6,1,1,group_0,user_0_2,201
364,17,21,1,group_0,user_0_3,426
365,36,35,2,group_0,user_0_9,677
366,0,35,4,group_0,user_0_9,971
367,36,31,2,group_0,user_0_3,630
368,12,15,2,group_0,user_0_2,778
369,41,21,4,group_0,user_0_7,493
370,33,31,4,group_0,user_0_6,17
371,36,18,0,group_0,user_0_9,203
372,41,29,4,group_0,user_0_4,280
373,22,11,0,group_0,user_0_0,59
374,36,39,2,group_0,user_0_2,474
375,33,29,0,group_0,user_0_4,933
376,33,1,4,group_0,user_0_6,636
377,41,16,3,group_0,user_0_3,175
378,22,29,2,group_0,user_0_5,678
379,12,29,1,group_0,user_0_0,463
380,0,31,3,group_0,user_0_0,101
381,36,15,0,group_0,user_0_4,210
382,0,12,1,group_0,user_0_8,295
383,12,11,0,group_0,user_0_4,567
384,17,15,1,group_0,user_0_8,847
385,17,31,1,group_0,user_0_2,773
386,36,29,1,group_0,user_0_7,126
387,36,11,3,group_0,user_0_3,524
388,41,39,3,group_0,user_0_7,90
389,33,12,4,group_0,user_0_2,363
390,17,12,4,group_0,user_0_3,208
391,41,39,1,group_0,user_0_1,359
392,17,3,4,group_0,user_0_3,933
393,12,16,4,group_0,user_0_9,149
394,22,11,2,group_0,user_0_6,627
395,41,39,1,group_0,user_0_3,347
396,36,22,4,group_0,user_0_2,376
397,33,29,4,group_0,user_0_8,54
398,22,11,4,group_0,user_0_0,565
399,0,17,3,group_0,user_0_5,758
400,12,35,2,group_0,user_0_5,630
401,33,15,1,group_0,user_0_0,221
402,17,35,0,group_0,user_0_9,32
403,6,18,1,group_0,user_0_1,437
404,6,3,1,group_0,user_0_8,713
405,12,26,2,group_0,user_0_1,201
406,12,35,0,group_0,user_0_7,428
407,22,15,1,group_0,user_0_9,650
408,6,15,1,group_0,user_0_8,554
409,6,11,0,group_0,user_0_9,368
410,12,16,0,group_0,user_0_7,983
411,0,1,4,group_0,user_0_2,700
412,0,16,1,group_0,user_0_5,321
413,6,22,3,group_0,user_0_7,3
414,6,31,0,group_0,user_0_7,819
415,36,26,3,group_0,user_0_5,345
416,12,17,3,group_0,user_0_6,330
417,0,11,2,group_0,user_0_9,390
418,17,35,4,group_0,user_0_6,282
419,22,26,1,group_0,user_0_7,253
420,12,21,3,group_0,user_0_1,134
421,0,35,0,group_0,user_0_3,687
422,17,39,3,group_0,user_0_3,897
423,12,12,3,group_0,user_0_4,613
424,22,31,0,group_0,user_0_2,476
425,12,18,1,group_0,user_0_0,246
426,33,18,0,group_0,user_0_2,28
427,33,22,4,group_0,user_0_4,103
428,36,3,2,group_0,user_0_6,755
429,36,17,0,group_0,user_0_6,152
430,0,16,4,group_0,user_0_2,920
431,36,21,3,group_0,user_0_9,573
432,22,17,1,group_0,user_0_3,435
433,6,16,2,group_0,user_0_2,657
434,41,17,4,group_0,user_0_7,263
435,0,31,4,group_0,user_0_9,880
436,22,21,3,group_0,user_0_5,879
437,17,35,0,group_0,user_0_4,532
438,12,31,2,group_0,user_0_7,813
439,0,1,2,group_0,user_0_2,649
440,22,16,0,group_0,user_0_7,20
441,0,3,3,group_0,user_0_8,935
442,36,15,4,group_0,user_0_3,971
443,36,29,2,group_0,user_0_4,225
444,36,35,4,group_0,user_0_2,828
445,22,31,3,group_0,user_0_1,835
446,33,39,4,group_0,user_0_4,280
447,12,3,2,group_0,user_0_1,700
448,6,26,0,group_0,user_0_7,501
449,17,12,0,group_0,user_0_2,635
450,41,17,3,group_0,user_0_1,766
451,22,1,2,group_0,user_0_8,884
452,22,35,2,group_0,user_0_5,894
453,6,26,3,group_0,user_0_4,793
454,22,1,0,group_0,user_0_4,774
455,12,18,4,group_0,user_0_1,108
456,41,35,4,group_0,user_0_6,151
457,0,26,0,group_0,user_0_9,707
458,41,11,3,group_0,user_0_6,156
459,6,16,3,group_0,user_0_4,432
460,6,26,4,group_0,user_0_7,159
461,36,1,4,group_0,user_0_1,245
462,6,18,1,group_0,user_0_6,751
463,0,26,2,group_0,user_0_4,563
464,17,17,2,group_0,user_0_9,798
465,36,29,4,group_0,user_0_5,476
466,41,22,1,group_0,user_0_4,995
467,0,26,0,group_0,user_0_2,757
468,0,29,1,group_0,user_0_7,844
469,41,1,1,group_0,user_0_3,195
470,33,22,4,group_0,user_0_4,602
471,0,39,2,group_0,user_0_3,421
472,22,1,3,group_0,user_0_2,186
473,17,18,4,group_0,user_0_4,236
474,6,11,4,group_0,user_0_6,889
475,41,17,3,group_0,user_0_3,540
476,0,29,0,group_0,user_0_8,335
477,33,16,3,group_0,user_0_0,908
478,41,21,0,group_0,user_0_8,282
479,36,21,0,group_0,user_0_3,553
480,33,17,4,group_0,user_0_4,220
481,22,26,0,group_0,user_0_5,449
482,33,1,1,group_0,user_0_1,447
483,6,35,1,group_0,user_0_0,780
484,12,31,3,group_0,user_0_4,792
485,6,11,2,group_0,user_0_1,428
486,12,16,0,group_0,user_0_2,473
487,41,31,2,group_0,user_0_2,536
488,36,1,2,group_0,user_0_6,608
489,33,3,2,group_0,user_0_9,644
490,41,11,4,group_0,user_0_0,896
491,17,26,3,group_0,user_0_6,722
492,22,17,1,group_0,user_0_6,412
493,22,35,3,group_0,user_0_9,390
494,22,26,0,group_0,user_0_1,855
495,36,39,3,group_0,user_0_4,82
496,17,29,4,group_0,user_0_0,358
497,33,16,3,group_0,user_0_1,864
498,12,26,2,group_0,user_0_4,849
499,22,3,1,group_0,user_0_6,49
500,12,21,0,group_0,user_0_0,119
501,36,16,4,group_0,user_0_0,368
502,12,3,3,group_0,user_0_8,457
503,22,1,3,group_0,user_0_2,584
504,0,35,0,group_0,user_0_6,283
505,36,3,4,group_0,user_0_3,571
506,36,26,4,group_0,user_0_7,93
507,6,29,2,group_0,user_0_0,656
508,0,11,2,group_0,user_0_0,678
509,36,21,3,group_0,user_0_7,65
510,41,26,4,group_0,user_0_0,673
511,6,15,3,group_0,user_0_2,999
512,6,26,0,group_0,user_0_7,693
513,33,31,3,group_0,user_0_9,429
514,36,18,4,group_0,user_0_7,645
515,36,17,0,group_0,user_0_5,407
516,36,15,4,group_0,user_0_4,309
517,22,22,0,group_0,user_0_7,860
518,17,29,1,group_0,user_0_1,915
519,12,39,2,group_0,user_0_9,449
520,36,11,0,group_0,user_0_6,434
521,22,12,1,group_0,user_0_7,757
522,33,29,3,group_0,user_0_0,563
523,22,22,0,group_0,user_0_9,32
524,6,31,1,group_0,user_0_0,79
525,17,26,0,group_0,user_0_6,576
526,33,26,0,group_0,user_0_2,335
527,17,12,4,group_0,user_0_5,938
528,36,11,1,group_0,user_0_4,428
529,0,31,4,group_0,user_0_5,171
530,33,39,4,group_0,user_0_0,270
531,17,18,2,group_0,user_0_4,925
532,41,18,2,group_0,user_0_8,202
533,41,21,3,group_0,user_0_6,147
534,0,3,2,group_0,user_0_7,892
535,17,35,1,group_0,user_0_0,388
536,41,16,2,group_0,user_0_8,946
537,12,29,0,group_0,user_0_3,514
538,33,21,4,group_0,user_0_5,678
539,17,1,2,group_0,user_0_6,949
540,6,12,1,group_0,user_0_2,335
541,33,11,4,group_0,user_0_0,379
542,17,12,4,group_0,user_0_4,398
543,12,12,1,group_0,user_0_9,890
544,22,22,4,group_0,user_0_7,850
545,36,15,2,group_0,user_0_5,757
546,17,11,4,group_0,user_0_1,242
547,22,22,2,group_0,user_0_4,446
548,12,39,1,group_0,user_0_1,699
549,0,22,0,group_0,user_0_0,891
550,22,35,4,group_0,user_0_8,667
551,33,3,4,group_0,user_0_9,837
552,0,16,3,group_0,user_0_4,566
553,36,29,0,group_0,user_0_8,619
554,17,31,2,group_0,user_0_8,186
555,17,26,1,group_0,user_0_1,147
556,0,39,2,group_0,user_0_1,523
557,0,22,1,group_0,user_0_8,152
558,33,21,1,group_0,user_0_8,801
559,12,35,1,group_0,user_0_2,445
560,36,35,3,group_0,user_0_8,439
561,17,3,2,group_0,user_0_7,765
562,41,1,3,group_0,user_0_4,507
563,0,21,3,group_0,user_0_6,12
564,0,35,4,group_0,user_0_5,744
565,36,21,2,group_0,user_0_3,17
566,36,35,3,group_0,user_0_1,588
567,0,22,2,group_0,user_0_5,371
568,17,26,1,group_0,user_0_6,206
569,6,17,1,group_0,user_0_2,756
570,41,21,1,group_0,user_0_7,383
571,36,29,0,group_0,user_0_0,901
572,0,3,0,group_0,user_0_4,569
573,0,29,1,group_0,user_0_1,538
574,6,31,2,group_0,user_0_9,551
575,12,17,2,group_0,user_0_2,223
576,22,15,2,group_0,user_0_8,293
577,12,35,4,group_0,user_0_5,495
578,22,12,3,group_0,user_0_1,857
579,6,11,2,group_0,user_0_4,996
580,36,31,3,group_0,user_0_4,948
581,22,26,1,group_0,user_0_0,22
582,12,12,4,group_0,user_0_0,303
583,36,39,4,group_0,user_0_9,529
584,12,29,2,group_0,user_0_8,39
585,41,39,0,group_0,user_0_7,694
586,12,35,2,group_0,user_0_5,836
587,33,1,2,group_0,user_0_2,565
588,22,35,1,group_0,user_0_5,495
589,12,21,1,group_0,user_0_1,816
590,12,39,3,group_0,user_0_6,330
591,17,35,4,group_0,user_0_9,513
592,36,21,1,group_0,user_0_0,237
593,22,11,3,group_0,user_0_5,486
594,41,1,3,group_0,user_0_6,948
595,33,12,0,group_0,user_0_2,344
596,6,3,1,group_0,user_0_7,476
597,22,3,2,group_0,user_0_5,93
598,22,3,0,group_0,user_0_4,393
599,22,31,3,group_0,user_0_3,54
600,33,26,0,group_0,user_0_1,167
601,12,26,0,group_0,user_0_4,865
602,17,16,2,group_0,user_0_2,657
603,36,17,3,group_0,user_0_4,892
604,33,12,2,group_0,user_0_3,670
605,36,3,1,group_0,user_0_7,728
606,36,17,1,group_0,user_0_8,529
607,0,3,0,group_0,user_0_4,175
608,33,21,3,group_0,user_0_3,621
609,22,12,3,group_0,user_0_3,550
610,41,31,4,group_0,user_0_3,162
611,17,1,2,group_0,user_0_1,425
612,6,39,3,group_0,user_0_7,266
613,41,17,2,group_0,user_0_9,897
614,12,35,1,group_0,user_0_9,465
615,6,22,0,group_0,user_0_7,381
616,33,12,3,group_0,user_0_4,730
617,36,15,3,group_0,user_0_8,13
618,33,12,0,group_0,user_0_3,833
619,22,18,0,group_0,user_0_1,582
620,41,16,1,group_0,user_0_0,355
621,33,18,2,group_0,user_0_1,279
622,41,18,2,group_0,user_0_7,743
623,6,17,1,group_0,user_0_6,605
624,6,1,3,group_0,user_0_1,741
625,6,15,1,group_0,user_0_9,392
626,6,3,2,group_0,user_0_8,922
627,33,22,4,group_0,user_0_3,360
628,12,15,2,group_0,user_0_8,134
629,17,3,2,group_0,user_0_6,224
630,6,35,3,group_0,user_0_4,144
631,6,3,3,group_0,user_0_2,155
632,17,22,0,group_0,user_0_6,816
633,36,12,2,group_0,user_0_9,218
634,0,31,1,group_0,user_0_5,269
635,33,29,1,group_0,user_0_0,302
636,0,31,2,group_0,user_0_3,229
637,22,31,0,group_0,user_0_3,537
638,6,1,3,group_0,user_0_8,312
639,6,26,0,group_0,user_0_3,627
640,17,39,3,group_0,user_0_7,836
641,6,18,2,group_0,user_0_2,921
642,36,18,4,group_0,user_0_4,180
643,41,35,3,group_0,user_0_5,125
644,0,11,2,group_0,user_0_2,768
645,22,35,1,group_0,user_0_4,784
646,22,11,4,group_0,user_0_9,587
647,6,1,1,group_0,user_0_4,773
648,41,21,0,group_0,user_0_9,803
649,33,16,2,group_0,user_0_3,926
650,6,17,3,group_0,user_0_4,890
651,41,31,0,group_0,user_0_5,898
652,41,26,3,group_0,user_0_0,7
653,41,1,2,group_0,user_0_2,385
654,41,3,0,group_0,user_0_0,285
655,17,16,4,group_0,user_0_6,307
656,36,3,0,group_0,user_0_1,328
657,17,18,4,group_0,user_0_7,386
658,41,16,1,group_0,user_0_1,967
659,36,15,1,group_0,user_0_5,580
660,22,29,1,group_0,user_0_4,202
661,0,12,3,group_0,user_0_4,15
662,17,22,4,group_0,user_0_0,941
663,0,35,2,group_0,user_0_0,893
664,6,31,4,group_0,user_0_5,217
665,0,17,1,group_0,user_0_5,547
666,22,15,0,group_0,user_0_6,427
667,6,3,0,group_0,user_0_3,972
668,33,29,1,group_0,user_0_3,165
669,17,21,3,group_0,user_0_0,467
670,41,26,0,group_0,user_0_3,714
671,12,26,3,group_0,user_0_8,694
672,33,21,1,group_0,user_0_8,911
673,12,11,0,group_0,user_0_1,640
674,12,11,2,group_0,user_0_8,655
675,41,16,0,group_0,user_0_0,450
676,17,35,1,group_0,user_0_6,218
677,0,12,4,group_0,user_0_4,590
678,0,22,0,group_0,user_0_4,537
679,22,17,4,group_0,user_0_8,392
680,22,3,0,group_0,user_0_0,61
681,6,26,2,group_0,user_0_2,177
682,0,39,1,group_0,user_0_1,617
683,41,16,0,group_0,user_0_1,433
684,22,39,2,group_0,user_0_5,825
685,12,15,4,group_0,user_0_3,853
686,33,12,3,group_0,user_0_2,684
687,0,35,2,group_0,user_0_9,487
688,0,11,4,group_0,user_0_6,621
689,22,16,4,group_0,user_0_3,584
690,12,1,1,group_0,user_0_7,603
691,33,21,0,group_0,user_0_5,429
692,6,11,4,group_0,user_0_3,146
693,22,12,2,group_0,user_0_3,953
694,0,17,2,group_0,user_0_8,710
695,41,18,4,group_0,user_0_5,666
696,33,21,2,group_0,user_0_3,865
